指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,331.74789748740454
wind_generation_mwh,334.0250653350453
total_renewable_mwh,665.7729628224498
renewable_penetration_ratio,0.4910652307422055
battery_charge_mwh,2746.44184
battery_discharge_mwh,2.64644184
battery_round_trip_efficiency,0.0009635892526309606
grid_purchase_mwh,267.85488335
grid_sale_mwh,340.675297
net_grid_purchase_mwh,-72.82041364999998
self_sufficiency_ratio,1.0
max_power_imbalance_mw,219.20119967624657
average_power_imbalance_mw,99.00196456589514
supply_flexibility_index,5.4616756596900835
