指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,331.74789748740454
wind_generation_mwh,334.0250653350453
total_renewable_mwh,665.7729628224498
renewable_penetration_ratio,1.0
battery_charge_mwh,2674.2842849999997
battery_discharge_mwh,2.574284285
battery_round_trip_efficiency,0.0009626068176218596
grid_purchase_mwh,732.4099581
grid_sale_mwh,115.298922
net_grid_purchase_mwh,617.1110361000001
chiller_consumption_mwh,0.0
heat_pump_consumption_mwh,0.0
total_adjustable_loads_mwh,0.0
adjustable_load_ratio,0.0
freq_reg_up_avg_mw,0.0
freq_reg_down_avg_mw,0.0
spin_reserve_up_avg_mw,0.0
spin_reserve_down_avg_mw,0.0
total_ancillary_services_mw,0.0
ancillary_services_participation_ratio,0.0
self_sufficiency_ratio,0.528489233946386
max_power_imbalance_mw,234.7552600762466
average_power_imbalance_mw,110.38106341667124
supply_flexibility_index,5.490225624062734
