指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,414000.0
battery_charge_cost_yuan,20255.885754000003
battery_discharge_cost_yuan,28.883828631
battery_total_cost_yuan,20284.769582631
chiller_cost_yuan,23000.0
heat_pump_cost_yuan,13800.0
adjustable_loads_cost_yuan,36800.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,5229034.202665185
grid_sale_revenue_yuan,4348506.545005474
total_generation_cost_yuan,471084.769582631
total_cost_yuan,5700118.972247816
total_revenue_yuan,4348506.545005474
net_cost_yuan,1351612.4272423415
average_cost_yuan_per_mwh,1072.9072163541962
average_electricity_price_yuan_mwh,395.12345416641546
