指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,331.74789748740454
wind_generation_mwh,334.0250653350453
total_renewable_mwh,665.7729628224498
renewable_penetration_ratio,1.0
battery_charge_mwh,2025.5885754
battery_discharge_mwh,1.9255885754
battery_round_trip_efficiency,0.0009506316330895316
grid_purchase_mwh,12193.350789999999
grid_sale_mwh,11500.0
net_grid_purchase_mwh,693.3507899999986
chiller_consumption_mwh,0.0
heat_pump_consumption_mwh,0.0
total_adjustable_loads_mwh,0.0
adjustable_load_ratio,0.0
freq_reg_up_avg_mw,0.0
freq_reg_down_avg_mw,0.0
spin_reserve_up_avg_mw,0.0
spin_reserve_down_avg_mw,0.0
total_ancillary_services_mw,0.0
ancillary_services_participation_ratio,0.0
self_sufficiency_ratio,0.528489233946386
max_power_imbalance_mw,211.1227931480979
average_power_imbalance_mw,82.55390944940831
supply_flexibility_index,5.441503927140524
